frac,train_size,seed,test_rmse,test_pearson,test_spearman,test_r2,test_mae,stereo_ordering_acc,stereo_delta_pearson,epochs_run
0.01,415,0,7.60727871134546,0.7157776355743408,0.7585124547711591,0.45648568868637085,5.476631164550781,0.6383763837638377,-0.19256446025344373,176
0.01,415,1,7.655322707716334,0.7155351638793945,0.754945771152667,0.44959890842437744,5.487637042999268,0.6291512915129152,-0.23207868563841505,168
0.01,415,2,7.620237019774964,0.7007216811180115,0.7340289030215561,0.4546324610710144,5.395305156707764,0.6346863468634686,0.006858054359240954,171
0.02,829,0,7.981762602378165,0.6962077617645264,0.7541339401771588,0.4016574025154114,5.689268112182617,0.5793357933579336,-0.23953813747474748,170
0.02,829,1,8.2365770670969,0.6694934964179993,0.723285471357533,0.36284393072128296,5.613186836242676,0.6254612546125461,-0.03527776627802277,169
0.02,829,2,7.522334603253221,0.7356166243553162,0.7677165041078207,0.46855586767196655,5.341925144195557,0.6328413284132841,0.0247221679727731,143
0.05,2073,0,8.231091186567067,0.6713648438453674,0.7182258043125791,0.36369234323501587,5.669048309326172,0.6088560885608856,-0.0147342520630006,141
0.05,2073,1,8.034670565201077,0.681990385055542,0.7179902059601977,0.3936987519264221,5.478015422821045,0.6420664206642066,0.2649803157782065,165
0.05,2073,2,7.819712247115334,0.7274966239929199,0.7704791589365106,0.42570656538009644,5.4358110427856445,0.6217712177121771,0.17522249647639004,136
0.1,4146,0,8.080605220223152,0.682585597038269,0.7358602402351803,0.3867464065551758,5.4799957275390625,0.6291512915129152,0.0975044639606788,139
0.1,4146,1,7.689794926680705,0.7058237791061401,0.7444240149496022,0.4446307420730591,5.28209924697876,0.6273062730627307,0.22300513689699533,133
0.1,4146,2,8.399882234020318,0.6273281574249268,0.6366796983130435,0.33732783794403076,5.977908611297607,0.6309963099630996,-0.003410365488437083,200
0.2,8291,0,8.28198791671052,0.6593341827392578,0.6895217896193087,0.3557988405227661,5.766213417053223,0.6383763837638377,0.04751703417618821,162
0.2,8291,1,7.59247342906092,0.7110904455184937,0.7477778300924125,0.4585992097854614,5.322505474090576,0.6328413284132841,0.015264560699915834,148
0.2,8291,2,7.299303716609856,0.718522310256958,0.7512591284706156,0.49960243701934814,5.186804294586182,0.6420664206642066,0.01606312625524404,159
0.4,16582,0,8.134544048978137,0.6760699152946472,0.7159016556579025,0.3785319924354553,5.684159755706787,0.6586715867158671,0.1959917327112925,153
0.4,16582,1,7.92015981069839,0.6852168440818787,0.7327840915237741,0.4108577370643616,5.48855447769165,0.6420664206642066,0.14909738402748282,159
0.4,16582,2,7.474241145473137,0.73177170753479,0.7796560646190286,0.4753296375274658,5.198011875152588,0.6328413284132841,-0.07776708677972326,155
0.7,29018,0,7.403610338539021,0.7479384541511536,0.8044284885656038,0.485198974609375,5.013570308685303,0.6291512915129152,0.03717144024273062,176
0.7,29018,1,7.229337516180273,0.7367319464683533,0.7959494379910437,0.509149432182312,4.991660118103027,0.6273062730627307,0.15268934168722784,161
0.7,29018,2,7.570633730849084,0.7276315689086914,0.7850752491701006,0.4617094397544861,5.197134017944336,0.6457564575645757,0.07073905830534212,172
1.0,41455,0,7.519864795767997,0.7457464337348938,0.8046796460054845,0.4689047932624817,5.177835941314697,0.6383763837638377,0.13369061353391087,152
1.0,41455,1,7.657449931878661,0.7290264368057251,0.7723588147785411,0.44929295778274536,5.258152961730957,0.6457564575645757,0.1036079389588152,144
1.0,41455,2,7.759360536399755,0.7040876746177673,0.7480662811039863,0.43453699350357056,5.353055000305176,0.6678966789667896,0.2921015573111017,150
