model,n_seeds,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max,kendall_mean,kendall_std,kendall_min,kendall_max,ordering_acc_mean,ordering_acc_std,ordering_acc_min,ordering_acc_max,delta_pearson_mean,delta_pearson_std,delta_pearson_min,delta_pearson_max,delta_spearman_mean,delta_spearman_std,delta_spearman_min,delta_spearman_max,mean_pred_delta_mean,mean_pred_delta_std,mean_pred_delta_min,mean_pred_delta_max,n_correct_mean,n_correct_std,n_correct_min,n_correct_max,n_pairs_mean,n_pairs_std,n_pairs_min,n_pairs_max
results_gin_scratch,10,6.909575586397496,0.3745035049322361,6.356100453105717,7.540542631177641,4.6522585391998295,0.2828223886332979,4.323378562927246,5.146480083465576,0.7737742185592651,0.022534390713683402,0.7464579343795776,0.8054304122924805,0.8242901605336949,0.02371644581617277,0.7986215746777449,0.858597752968267,0.6457217356446441,0.02598520836198084,0.6207927736307524,0.6864768084433286,0.6693726937269372,0.02068835348974398,0.6383763837638377,0.6937269372693727,0.10049934011197556,0.0987317447750085,-0.03341168960658729,0.3110004115494487,0.15449495770540783,0.10649372420228295,0.032257572803107475,0.35937370403003155,2.1681855082511903,0.6241682547423695,1.503581166267395,3.512380361557007,362.8,11.213087591441234,346.0,376.0,542.0,0.0,542.0,542.0
Pretrained GIN,10,7.65623264161314,0.2087264141892254,7.401388770028072,8.058095275876157,5.220112228393555,0.1455700173798265,5.006567478179932,5.4440836906433105,0.7206306755542755,0.016041764469556876,0.6884239912033081,0.7366807460784912,0.7774044764471929,0.022954018650628124,0.7248675219618996,0.797100210212854,0.5908388783222212,0.0212276226245669,0.5432627703325771,0.6115180356337545,0.6490774907749077,0.009909045048522896,0.6383763837638377,0.6678966789667896,0.14702191419399072,0.07466144974774251,0.008174295596926447,0.24493383111047667,0.17212489727862934,0.07570499012287558,0.05157915724743995,0.27816824700655784,1.83291597366333,0.24437919291859486,1.5347877740859985,2.3599205017089844,351.8,5.370702416299421,346.0,362.0,542.0,0.0,542.0,542.0
DeepLC,10,6.60841812326872,0.2144798897278661,6.347554085716305,6.978807521708048,4.602574014663697,0.18344985074842327,4.320623397827148,4.874448299407959,0.801443487405777,0.011936459099115145,0.7773754596710205,0.8220342993736267,0.848615097584743,0.010642157363860984,0.8277394452376103,0.8656169096417204,0.6696606022369147,0.013356158888575031,0.6471609442204528,0.6947225157672969,0.6328413284132841,0.022962059904790243,0.5719557195571956,0.6549815498154982,-0.02934466320425904,0.09951083716942531,-0.15147074469851984,0.13194201827894142,0.013602071423693332,0.1018059187275978,-0.11458446188510044,0.16833680709025511,1.9740354657173156,0.5842500631565216,0.9020678997039795,2.7145650386810303,343.0,12.445436468396313,310.0,355.0,542.0,0.0,542.0,542.0
Morgan FP MLP,10,9.14682820731681,0.28701383067943964,8.736251056347411,9.63313801533337,6.7024720191955565,0.20019200031613787,6.418862819671631,7.048280239105225,0.5295343339443207,0.029373505399113087,0.47067105770111084,0.5697857141494751,0.5598738424946802,0.03124898992156687,0.49746473032677757,0.603852505153418,0.39584623345648334,0.02302753785666801,0.3503489249353165,0.42764954207377387,0.6151291512915129,0.029790684611284833,0.584870848708487,0.6697416974169742,-0.06299075383012415,0.05429063263132357,-0.1850331065344245,0.008329763505087295,-0.04563232330855201,0.05685436110934602,-0.15577739431564513,0.011675689616650458,1.2796873033046723,0.34499454255532835,0.6423109173774719,1.6425946950912476,333.4,16.146551059316383,317.0,363.0,542.0,0.0,542.0,542.0
results_esm3_sm_embedding,7,7.456752895344988,0.2863618160753335,7.087261442176087,7.86267069281068,5.2041521072387695,0.17952082489247675,4.950456619262695,5.398665904998779,0.7839132717677525,0.011442517180463138,0.7617759704589844,0.7952327132225037,0.8222390623869663,0.01138084208185813,0.7997936053792971,0.8327885063684752,0.634843609332324,0.014316976011218605,0.6073074840584127,0.6487469353886187,0.6059567738534527,0.023672316343919808,0.5682656826568265,0.6328413284132841,,,,,,,,,,,,,328.42857142857144,12.83039545840453,308.0,343.0,542.0,0.0,542.0,542.0
results_esm3_embedding,10,7.942323254135744,0.41856337007430994,7.218413638250503,8.506265911280812,5.57029504776001,0.3689704897518664,5.010561466217041,6.144988536834717,0.7881276249885559,0.0070931180165481385,0.775470495223999,0.7987245917320251,0.8265302726061028,0.008387862955097828,0.8116888091509616,0.8396905321962675,0.639755332438694,0.010063395720254257,0.6197529734059379,0.6520059841022606,0.6033210332103321,0.052271904946803886,0.470479704797048,0.6439114391143912,,,,,,,,,,,,,327.0,28.331372481167705,255.0,349.0,542.0,0.0,542.0,542.0
results_esmc_300m_embedding,10,7.988767434249178,0.20134373359096652,7.778200340902315,8.43965946396392,5.538818836212158,0.17911932601857475,5.316114902496338,5.878762245178223,0.7729024529457093,0.010205004293023342,0.7527925968170166,0.7840772867202759,0.8277075494344158,0.00882480266791561,0.8111822273250231,0.8410217384187685,0.643370581127542,0.009783020547145657,0.6262400129234621,0.6590914536875618,0.5922509225092252,0.023499351998207615,0.5461254612546126,0.6199261992619927,,,,,,,,,,,,,321.0,12.736648783028533,296.0,336.0,542.0,0.0,542.0,542.0
results_esmc_600m_embedding,10,8.3528417788687,0.3196607279319744,7.902362335077626,8.968906946171424,5.91168246269226,0.2937436029356333,5.480283737182617,6.482769966125488,0.7614650845527648,0.01282536362661755,0.7433340549468994,0.7829570174217224,0.8246812976984732,0.007856065294934829,0.8148831476603812,0.8370331817246472,0.6403544103413672,0.009097785178246087,0.6277052104437728,0.6547812979707933,0.5378228782287823,0.027821806977287894,0.4981549815498155,0.5867158671586716,,,,,,,,,,,,,291.5,15.079419381690029,270.0,318.0,542.0,0.0,542.0,542.0
Transformer (scratch),10,7.34018640948957,0.4758925310523543,6.36668272299348,8.043392753818969,5.1596356391906735,0.3723493907159545,4.501309871673584,5.678299427032471,0.7466456949710846,0.033758619608063624,0.7102968096733093,0.8007056713104248,0.7902504594524284,0.03068532554700973,0.7567541285865015,0.8447567806987003,0.6033422192008835,0.032588943213655165,0.5690044988462495,0.6616212214017918,0.5354243542435424,0.07797152653739091,0.4095940959409594,0.6642066420664207,-0.003408394859861494,0.11199932053831045,-0.1142955176556247,0.22032638194718807,-0.001430345992312812,0.11975185378212931,-0.13172988444012806,0.22711021924406188,0.7877286695176735,0.7418158725668476,-0.9169363379478455,1.6047327518463135,290.2,42.26056738326587,222.0,360.0,542.0,0.0,542.0,542.0
DeepRT-CapsNet,10,7.196974505618476,0.3485943575981376,6.601644553853963,7.759360536399755,5.20835132598877,0.30073243398119187,4.833405494689941,5.748182773590088,0.7520098507404327,0.03282090011525848,0.6799702644348145,0.781125545501709,0.7877291463383093,0.03496984275932405,0.7108430580795164,0.8227878790086767,0.5965730836679802,0.03575598007570088,0.5215592320716266,0.6344264877126145,0.4330258302583026,0.08018251029093693,0.3800738007380074,0.5904059040590406,-0.08481827428600974,0.07329155230550397,-0.17722292477990179,0.03571784214331573,-0.08229736080565046,0.0746851921273739,-0.20296129973891522,0.04198048649127538,-0.21982986107468605,0.8014493297571597,-1.3747572898864746,1.2380905151367188,234.7,43.45892057768782,206.0,320.0,542.0,0.0,542.0,542.0
