model,n_seeds,mse_mean,mse_std,mse_min,mse_max,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,mean_error_mean,mean_error_std,mean_error_min,mean_error_max,r2_mean,r2_std,r2_min,r2_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max,kendall_mean,kendall_std,kendall_min,kendall_max
GIN,3,47.92648951212565,1.1454411854021123,46.80774688720703,49.09688186645508,6.92256670761189,0.08270148840068833,6.841618732961304,7.006916716106669,4.504842758178711,0.07880295846997576,4.413851261138916,4.550901412963867,-2.280417561531067,0.40929146998655275,-2.587428092956543,-1.8157404661178589,0.5344279408454895,0.011127138165473735,0.5230584144592285,0.5452957153320312,0.7748254934946696,0.0219760611967817,0.7531556487083435,0.7970954775810242,0.8346755817290102,0.022377423744639736,0.8145180370501807,0.8587545018475704,0.6548394099123435,0.025636953303284627,0.6326111524814929,0.6828852190926746
Pretrained GIN,3,57.26458613077799,1.6413920937263018,55.91664505004883,59.092445373535156,7.566821538550591,0.10815221568376927,7.477743312661168,7.687161073734253,5.126067479451497,0.05632024943343724,5.088270664215088,5.190797328948975,-2.4277610778808594,0.20832538336461534,-2.652383804321289,-2.2408981323242188,0.4437149167060852,0.015944954534032107,0.4259585738182068,0.45680922269821167,0.7129456599553426,0.0035724057253485033,0.7088909149169922,0.7156298160552979,0.7788339418106528,0.01196862888100088,0.7703108347941741,0.7925170430887847,0.5883793031280876,0.011585386980800971,0.5793549140712837,0.6014437776512331
Pretrained PepLand,3,64.28934733072917,3.3879572423079525,60.715087890625,67.45370483398438,8.016197833019541,0.21184770221307347,7.7919886993388925,8.213020445243295,5.281514326731364,0.15797285150946755,5.1345672607421875,5.44858455657959,-3.812618891398112,0.22908740057802066,-4.050398826599121,-3.5933468341827393,0.37547431389490765,0.0329116512311121,0.344734787940979,0.4101957678794861,0.7273088097572327,0.013399076329001492,0.7174232006072998,0.7425589561462402,0.784579329882572,0.014961284264630264,0.7718493027369322,0.801058681471324,0.6078105923960265,0.011131815691571663,0.5975633331873202,0.6196545329770614
PeptideCLM-2-Hybrid,3,57.33125559488932,5.43511409848522,53.220802307128906,63.493621826171875,7.566185105791749,0.3551729292565101,7.295258892399152,7.9682885129851995,5.084085305531819,0.2204483971697751,4.921219825744629,5.334939479827881,-3.1124751567840576,0.14240904054641837,-3.239976406097412,-2.958791732788086,0.4430672725041707,0.052798305175779006,0.38320422172546387,0.48299741744995117,0.7352780103683472,0.03467949246579026,0.6970977783203125,0.7648261189460754,0.782698963127148,0.03364943912010294,0.7455875938177607,0.8112218165917001,0.6019787696935185,0.029674916276319505,0.569831354855666,0.6283242075138348
ChemBERTa-2-MLM,3,50.00569279988607,5.462898667183719,44.310585021972656,55.20219802856445,7.064358407871246,0.3883292772086253,6.656619639274326,7.429818169280083,4.691568215688069,0.27180684499218494,4.404356479644775,4.944768905639648,-2.8532965977986655,0.38396100844370495,-3.172477960586548,-2.427212953567505,0.514229953289032,0.05306820182075083,0.46374958753585815,0.5695539116859436,0.7871094346046448,0.021963962432542616,0.7649551033973694,0.8088779449462891,0.839615291716695,0.024230657447524128,0.819951967047332,0.8666847035433975,0.6611066820467145,0.026966435828080886,0.6392202899820404,0.6912313285733059
ChemBERTa-2-MTR,3,58.307247161865234,3.8839484848088848,55.427364349365234,62.72456359863281,7.633138079472201,0.25233971618634005,7.444955631121332,7.919884064721706,5.319324811299642,0.24812115979693325,5.162905693054199,5.605413913726807,-3.648175001144409,0.30681698909515714,-3.9978902339935303,-3.4242143630981445,0.4335862199465434,0.037729798045033604,0.3906751275062561,0.46156221628189087,0.7662102381388346,0.013806026349179653,0.7503151893615723,0.7752146124839783,0.8127414453740193,0.008840638257907533,0.8025334075950346,0.8179075797550897,0.6281486024111632,0.01041642241628033,0.6162868865624134,0.6358047512666638
Transformer,3,53.71745300292969,3.2818989835452363,50.10374069213867,56.512577056884766,7.326912163443635,0.22520374811956173,7.078399585509331,7.517484756012796,5.193014939626058,0.31221118624831234,4.9014177322387695,5.522400379180908,-2.5342564582824707,0.7019715201693715,-3.277240037918091,-1.882148265838623,0.47817283868789673,0.03188135082794769,0.45102018117904663,0.513277530670166,0.7425421078999838,0.0502496534762999,0.701843798160553,0.7987069487571716,0.7969481026826015,0.04233257861289313,0.7532744708120578,0.8377982723842121,0.6068287412209618,0.048670826504232836,0.558575496079548,0.6559066684188241
DeepLC,3,42.233280181884766,6.24069456580973,37.77333068847656,49.365081787109375,6.487272557928247,0.4720830557791798,6.146001194962182,7.0260288774747695,4.324943383534749,0.2748219852334042,4.144218444824219,4.64120626449585,-2.782296101252238,0.4034607801929484,-3.242095708847046,-2.487443685531616,0.5897334615389506,0.06062394885489413,0.5204530358314514,0.6330587267875671,0.8260585069656372,0.01631565030907517,0.8073299527168274,0.8371923565864563,0.8721808559402154,0.014879188692900478,0.8550043364002078,0.8811091723639375,0.7018194207173137,0.01941413872172455,0.6794252923912567,0.7139030764962694
DeepRT-CapsNet,3,48.63507843017578,6.321198256868321,42.429325103759766,55.06571960449219,6.9640502740927515,0.4534570708751908,6.513779632729355,7.42062797911957,4.860137939453125,0.3568903781132343,4.614593029022217,5.26953125,-1.830557107925415,0.7378703583690842,-2.6825644969940186,-1.4006518125534058,0.5275444984436035,0.0614059628145782,0.46507537364959717,0.5878289937973022,0.7685473163922628,0.048936485277565216,0.7132792472839355,0.8063725233078003,0.8224433247582955,0.03838355266253704,0.7800943194245279,0.8549411849408699,0.6362852317471442,0.04315482856093471,0.5896809613503293,0.674863842773081
Morgan FP MLP,3,74.02366129557292,3.644526757898715,70.4506607055664,77.73573303222656,8.60196359174923,0.21172031714130174,8.393489185408319,8.816787001636513,6.209688822428386,0.13720332765687193,6.068672180175781,6.34273099899292,-1.4550350904464722,0.13946059239653424,-1.5659476518630981,-1.2984696626663208,0.2809123198191325,0.03540402317835863,0.24485212564468384,0.3156214952468872,0.5641304651896158,0.021673079078634996,0.5407211780548096,0.5834984183311462,0.630857034971244,0.020314103177292594,0.6089135533282669,0.6490069021454749,0.44399127108114905,0.01547759433231393,0.4269442092286255,0.45716283255408907
